Index,System Time,Channel,Direction,Frame ID,Data
25020,22:14:18.261,ch1,R,0x02c6,x| FF FF FF FF FF F0
25021,22:14:18.262,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25022,22:14:18.262,ch1,R,0x017c,x| 18 5C 50 08 4E 06 00 00
25023,22:14:18.262,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25024,22:14:18.262,ch1,R,0x0090,x| 00 00 00 00
25025,22:14:18.263,ch1,R,0x00c6,x| 80 23 80 0A 80 08 B8 92
25026,22:14:18.263,ch1,R,0x012e,x| C7 80 02 7F D0 FF FF 00
25027,22:14:18.263,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25028,22:14:18.263,ch1,R,0x029a,x| 00 00 00 00 00 00 0E F1
25029,22:14:18.263,ch1,R,0x02b7,x| 00 E0 FF FE 01
25030,22:14:18.264,ch1,R,0x0350,x| C7 4E 82 BE 14 98 94 85
25031,22:14:18.264,ch1,R,0x05d7,x| 00 00 12 7F 09 F0 C0
25032,22:14:18.264,ch1,R,0x055d,x| 01 1D F0 00 91 C0 00 00
25033,22:14:18.270,ch1,R,0x0186,x| 18 5C 31 A3 1B 00 21
25034,22:14:18.270,ch1,R,0x0189,x| 31 B3 18 3F 30 D6 00 00
25035,22:14:18.271,ch1,R,0x018a,x| 31 B8 00 06 AA 04 30 F0
25036,22:14:18.271,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
25037,22:14:18.271,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25038,22:14:18.272,ch1,R,0x017c,x| 18 5C 50 08 4E 06 00 00
25039,22:14:18.272,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25040,22:14:18.272,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25041,22:14:18.272,ch1,R,0x0090,x| 00 00 00 00
25042,22:14:18.273,ch1,R,0x00c6,x| 80 23 7F F6 80 08 BA A5
25043,22:14:18.273,ch1,R,0x012e,x| C7 80 02 7F D0 FF FF 00
25044,22:14:18.273,ch1,R,0x0242,x| 00 00 FF EF FE 00 0D
25045,22:14:18.273,ch1,R,0x029c,x| 00 00 00 00 FF FF FF FF
