Index,System Time,Channel,Direction,Frame ID,Data
1,19:44:44.583,ch1,R,0x02b7,x| 00 E0 FF FE 01
2,19:44:44.585,ch1,R,0x04ac,x| 80
3,19:44:44.586,ch1,R,0x045c,x| 00 00 00 00
4,19:44:44.586,ch1,R,0x05df,x| 00 A4
5,19:44:44.591,ch1,R,0x0186,x| 43 60 38 B3 87 2F 61
6,19:44:44.591,ch1,R,0x0189,x| 38 72 F4 50 D0 CC 00 00
7,19:44:44.591,ch1,R,0x018a,x| 38 78 16 C6 98 04 94 A0
8,19:44:44.591,ch1,R,0x017a,x| 38 75 0D 66 00 80 33 29
9,19:44:44.592,ch1,R,0x017c,x| 43 50 50 EB 4F 00 00 00
10,19:44:44.592,ch1,R,0x017e,x| 08 6B 00 00 00 00 C4 00
11,19:44:44.592,ch1,R,0x01f6,x| 1E 20 80 3A 81 40 FF FE
12,19:44:44.592,ch1,R,0x0090,x| 00 00 00 00
13,19:44:44.592,ch1,R,0x00c6,x| 7F D9 7F 88 80 09 B2 65
14,19:44:44.593,ch1,R,0x012e,x| C5 80 02 7F F0 FF FF 00
15,19:44:44.593,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
16,19:44:44.593,ch1,R,0x0217,x| 40 00 00 39 92 3D 00
17,19:44:44.593,ch1,R,0x0242,x| 00 00 FF EF FE 00 0D
18,19:44:44.594,ch1,R,0x029c,x| 48 82 48 39 FF FF FF FF
19,19:44:44.594,ch1,R,0x02c6,x| FF FF FF FF FF F0
20,19:44:44.594,ch1,R,0x0352,x| 5C 00 00 00
21,19:44:44.594,ch1,R,0x0593,x| 0F FF 00 00
22,19:44:44.597,ch1,R,0x0634,x| 80 00 00
23,19:44:44.598,ch1,R,0x068b,x| 12 0C 34
24,19:44:44.599,ch1,R,0x01bd,x| 0E 7E 0D 90 00 00 00 25
25,19:44:44.599,ch1,R,0x0356,x| 67 FF 00 FF 00 00
26,19:44:44.599,ch1,R,0x0500,x| 02 61 42 5B 32
27,19:44:44.599,ch1,R,0x0303,x| 59 56 AA 18 65 20 00
28,19:44:44.599,ch1,R,0x03fa,x| 00 00
29,19:44:44.600,ch1,R,0x0552,x| 00 04
30,19:44:44.600,ch1,R,0x0211,x| 4E 18 0B 4B F1 00 00 E4
31,19:44:44.601,ch1,R,0x0214,x| 00 00
32,19:44:44.601,ch1,R,0x017a,x| 38 75 0D 66 00 80 33 29
33,19:44:44.601,ch1,R,0x017c,x| 43 54 50 EB 4F 00 00 00
34,19:44:44.602,ch1,R,0x017e,x| 08 6B 00 00 00 00 C4 00
35,19:44:44.602,ch1,R,0x0186,x| 43 48 38 B3 87 2F 61
36,19:44:44.602,ch1,R,0x0189,x| 38 72 F4 50 D0 CC 00 00
37,19:44:44.602,ch1,R,0x0090,x| 00 00 00 00
38,19:44:44.602,ch1,R,0x00c6,x| 7F D8 7F 88 80 09 B4 64
39,19:44:44.603,ch1,R,0x012e,x| C5 7F E7 7F F0 FF FF 00
40,19:44:44.603,ch1,R,0x018a,x| 38 78 16 C6 98 04 59 B0
41,19:44:44.603,ch1,R,0x01f6,x| 1E 20 80 3A 81 40 FF FE
42,19:44:44.603,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
43,19:44:44.604,ch1,R,0x029a,x| 48 D1 48 DC 22 86 0D 0D
44,19:44:44.604,ch1,R,0x02b7,x| 00 E0 FF FE 01
45,19:44:44.604,ch1,R,0x03b7,x| 35 FF 7F 8F 7F 46 FF FF
46,19:44:44.604,ch1,R,0x05d7,x| 22 86 12 B2 3A 20 FE
47,19:44:44.605,ch1,R,0x04f8,x| 54 14 30 FF FF 03 FF 00
48,19:44:44.610,ch1,R,0x0186,x| 43 48 38 B3 87 2F 61
49,19:44:44.611,ch1,R,0x0189,x| 38 72 F4 50 D0 CC 00 00
50,19:44:44.611,ch1,R,0x018a,x| 38 78 16 C6 98 04 00 C0
51,19:44:44.611,ch1,R,0x01f6,x| 1E 20 80 3A 81 40 FF FE
52,19:44:44.611,ch1,R,0x017a,x| 38 75 0D 66 00 80 33 29
53,19:44:44.612,ch1,R,0x017c,x| 43 50 50 EB 4F 00 00 00
54,19:44:44.612,ch1,R,0x017e,x| 08 6E 00 00 00 00 C4 00
55,19:44:44.612,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
56,19:44:44.612,ch1,R,0x0090,x| 00 00 00 00
57,19:44:44.612,ch1,R,0x00c6,x| 7F D7 7F 6A 80 09 B6 81
58,19:44:44.613,ch1,R,0x012e,x| C5 7F E7 7F F0 FF FF 00
59,19:44:44.613,ch1,R,0x0217,x| 40 00 00 39 92 3D 00
60,19:44:44.613,ch1,R,0x0242,x| 00 00 FF EF FE 00 0D
61,19:44:44.613,ch1,R,0x029c,x| 48 82 48 33 FF FF FF FF
62,19:44:44.614,ch1,R,0x02c6,x| FF FF FF FF FF F0
63,19:44:44.614,ch1,R,0x0354,x| 22 86 00 00 00 00 00 00
64,19:44:44.615,ch1,R,0x062c,x| 00
65,19:44:44.616,ch1,R,0x01a0,x| F0
66,19:44:44.616,ch1,R,0x0563,x| 34 30
67,19:44:44.619,ch1,R,0x01bd,x| 0E 7E 0D 90 00 00 00 25
68,19:44:44.620,ch1,R,0x0211,x| 4E 18 0B 43 F1 00 00 E4
